name,address,latitude,longitude
Crab Orchard Fire Department,"602 Elm St, Crab Orchard, KY 40419, USA",37.4613903,-84.5067117
Crescent Springs-Villa Hills Fire and EMS,"777 Overlook Dr, Crescent Springs, KY 41017, USA",39.054649,-84.5841415
Crittenden and Community Volunteer Fire Department,"104 North Main Street, Crittenden, KY 41030, USA",38.7809958,-84.6065766
Crossroads Fire Department,"7274 KY-490, East Bernstadt, KY 40729, USA",37.2648844,-84.1104946
Cub Run Volunteer Fire Department,"13235 Priceville Rd, Cub Run, KY 42729, USA",37.3079807,-86.0595682
Cuba Fire Department,"PO Box 123, Lynnville, KY 42063, USA",36.5607095,-88.5694832
Cumberland River Volunteer Fire Department,"13279 US-119, Partridge, KY 40862, USA",37.02284179999999,-82.8714287
Cumberland Volunteer Fire Department,"414 W Main St, Cumberland, KY 40823, USA",36.9749332,-82.99287939999999
Cunningham Volunteer Fire Department,"3997 Morgan Cir, Cunningham, TN 37052, USA",36.398791,-87.38581599999999
"Custer Area Volunteer Fire & Rescue, Inc.","Custer, KY 40115, USA",37.7379293,-86.2260131
Cutshin Volunteer Fire and Rescue,"210 State Hwy 699, Wooton, KY 41776, USA",37.1192233,-83.27926599999999
Cynthiana Fire Department,"104 E Pleasant St # 2, Cynthiana, KY 41031, USA",38.3903537,-84.2964542
Danville Fire Department,"420 W Main St, Danville, KY 40422, USA",37.6457262,-84.7747562
David Area Volunteer Fire Department,"State Hwy 404, David, KY 41616, USA",37.604896,-82.8610506
Daviess County Fire Department,"5005 KY-54, Owensboro, KY 42303, USA",37.73983200000001,-87.024688
Dawson Springs Volunteer Fire Department,"200 W Arcadia Ave, Dawson Springs, KY 42408, USA",37.1670729,-87.6931987
Dixie Suburban Fire Department,"4603 Cane Run Rd, Louisville, KY 40216, USA",38.19280759999999,-85.845308
Dorton Volunteer Fire Department,"14700 US Highay 23 S, Virgie, KY 41572, USA",37.344,-82.6218
Dover Volunteer Fire Department,"13547 SW K4 Hwy, Dover, KS 66420, USA",38.965289,-95.93794799999999
Drakesboro Volunteer Fire Department,"210 Mose Rager Blvd, Drakesboro, KY 42337, USA",37.2169441,-87.0498604
Dry Ridge Fire Department,"31 Broadway St, Dry Ridge, KY 41035, USA",38.6813351,-84.5932856
Dukes Volunteer Fire Department,"Hawesville, KY 42348, USA",37.8262411,-86.6985638
Dundee Fire Department,"11735 KY-69, Dundee, KY 42338, USA",37.5604539,-86.7728635
Dunmor Volunteer Fire Department,"3866 Browning Rd, Rockfield, KY 42274, USA",36.9456263,-86.60558440000001
Dunnville Volunteer Fire Department,"467 Sloan Fork Rd, Liberty, KY 42539, USA",37.1817801,-84.8939152
Eagle/ Sawyer Fire Protection District Inc.,"Parkers Lake, KY 42634, USA",36.8417848,-84.48119729999999
Earlington Fire Department,"W Main St, Earlington, KY 42410, USA",37.2712806,-87.516572
"East 60 Volunteer Fire Department, Inc.","9221 Frankfort Rd, Waddy, KY 40076, USA",38.1733599,-85.0483615
East Allen Volunteer Fire Department,"1600 Lafayette Rd, Scottsville, KY 42164, USA",36.6809192,-86.06121089999999
East Barren Volunteer Fire Department,"761 Hollis Thomas Rd, Glasgow, KY 42141, USA",36.98367959999999,-85.8329531
East Bernstadt Fire Rescue,"195 Firestation Rd, London, KY 40741, USA",37.1736159,-84.1262194
East Casey County Volunteer Fire Department,"Middleburg, KY 42541, USA",37.3649763,-84.8046446
East Fork Volunteer Fire Department,"19600 KY-3, Rush, KY 41168, USA",38.3065805,-82.71276689999999
East Golden Pond Volunteer Fire Department,"4286 Canton Rd, Cadiz, KY 42211, USA",36.8134862,-87.8832669
East Grayson County Fire Department,"128 Woolridge St, Big Clifty, KY 42712, USA",37.5430726,-86.1544947
East Marshall Fire Department,"7485 Moors Camp Hwy, Gilbertsville, KY 42044, USA",36.92306170000001,-88.2478017
Eastern Campbell Volunteer Fire Department,"California, KY, USA",38.9186766,-84.26354719999999
Eastwood Fire Department,"16010 Shelbyville Rd, Louisville, KY 40245, USA",38.2334548,-85.4571117
Edgewood Fire District,"4649 Poplar Level Rd, Louisville, KY 40213, USA",38.1810102,-85.6943407
Edgewood Fire EMS,"385 Dudley Rd, Edgewood, KY 41017, USA",39.00801,-84.565843
Edmonton Volunteer Fire & Rescue,"1412 W Stockton St, Edmonton, KY 42129, USA",36.9892427,-85.6383711
Ekron Fire & Rescue Department,"Ekron, KY 40117, USA",37.9292349,-86.1794144
Eli Volunteer Fire & Rescue Department,"318 Parks Ridge Rd, Russell Springs, KY 42642, USA",37.02457,-84.98690479999999
Elizabethtown Fire Department,"380 Ring Rd, Elizabethtown, KY 42701, USA",37.6930505,-85.91342399999999
Elliottville Fire Department,"8140 Hogtown Hill, Morehead, KY 40351, USA",38.182677,-83.2744219
Elsmere Fire District,"401 Garvey Ave, Elsmere, KY 41018, USA",39.0097297,-84.601293
"Elva, New Harmony, Oak Level (E N O) Fire Department","Benton, KY 42025, USA",36.85727809999999,-88.350315
Eminence Fire Department,"51 Depot Ave, Eminence, KY 40019, USA",38.3702683,-85.18091559999999
Emlyn Volunteer Fire Department,"3254 S Hwy 25, Emlyn, KY 40730, USA",36.7035241,-84.1456765
Erlanger Fire and EMS Department,"515 Graves Ave, Erlanger, KY 41018, USA",39.022607,-84.60952929999999
Estill County Fire Department,"202 Whispering Woods Dr, Irvine, KY 40336, USA",37.704153,-84.00567099999999
Eubank Volunteer Fire Department,"375 Bulldog St, Eubank, KY 42567, USA",37.2800907,-84.6508521
Evona Volunteer Fire Department,"467 Sloan Fork Rd, Liberty, KY 42539, USA",37.1817801,-84.8939152
"Ewing Volunteer Fire Department, Inc.","1491 Ewing Rd, Ewing, KY 41039, USA",38.4268117,-83.86131809999999
Exie Volunteer Fire Department,"US-68, Greensburg, KY, USA",37.2616751,-85.50126329999999
Fairdale Fire Protection District,"10015 Mitchell Hill Rd, Fairdale, KY 40118, USA",38.104384,-85.7597346
Fairview Volunteer Fire Department,"Fairview, KY 42266, USA",36.8433771,-87.3038926
Falls of Rough Volunteer Fire Department,"123 Green Farms Rd, Falls of Rough, KY 40119, USA",37.5951999,-86.513576
Fallsburg Volunteer Fire Department,"Louisa, KY 41230, USA",38.1142544,-82.60321189999999
Farmers Volunteer Fire Department,"295 Old US Hwy 60, Morehead, KY 40351, USA",38.141806,-83.5412884
Farmington Volunteer Fire Department,"35 Durbin St, Farmington, KY 42040, USA",36.669191,-88.52720389999999
Faubush Tri-County Fire Department,"5600 KY-196, Nancy, KY 42544, USA",37.0535899,-84.8357013
Ferguson Fire Department,"808 Newton St, Ferguson, KY 42533, USA",37.0692782,-84.5946134
Fern Creek Fire Protection District,"6200 Bardstown Rd, Fern Creek, KY 40291, USA",38.156061,-85.5907544
Fernleaf Highland Volunteer Fire Department,"3334 Slack Pike, Maysville, KY 41056, USA",38.651638,-83.87637
Fifth District Rural Volunteer Fire Department,"6810 Caneyville Rd, Morgantown, KY 42261, USA",37.3187866,-86.606614
Fire Department of Bellevue-Dayton,"Van Voast Ave, Bellevue, KY 41073, USA",39.106628,-84.47855609999999
Firebrick Volunteer Fire Department,"41 Industrial Park Rd, Vanceburg, KY 41179, USA",38.5973958,-83.2716609
Fisty Dwarf Volunteer Fire & Rescue,"1736 Trace Branch Rd, Fisty, KY 41743, USA",37.3433023,-83.110714
"Flaherty Volunteer Fire Department., Inc.","3895 Flaherty Rd, Vine Grove, KY 40175, USA",37.8329479,-86.0629766
Flatwoods Volunteer Fire Department,"804 Powell Ln, Flatwoods, KY 41139, USA",38.5188932,-82.7115099
Flemingsburg Volunteer Fire Department,"Flemingsburg, KY 41041, USA",38.4222995,-83.73380759999999
Flippin Volunteer Fire Department,"546 Flippin Lamb Rd, Tompkinsville, KY 42167, USA",36.7202024,-85.8743435
Florence Fire/EMS,"1152 Weaver Rd, Florence, KY 41042, USA",38.9756596,-84.65443549999999
"Fogertown Fire Department, Inc.","9988 KY-638, Manchester, KY 40962, USA",37.2161214,-83.89146629999999
Fordsville Fire Department,"Fordsville, KY 42343, USA",37.6376831,-86.71998359999999
Fort Campbell Fire Department,"2575 Screaming Eagle Blvd, Fort Campbell, KY 42223, USA",36.643173,-87.4419401
Fort Knox Fire Department,"496 Old Ironsides Ave, Fort Knox, KY 40121, USA",37.8930397,-85.9509785
Fort Mitchell Fire Department,"2355 Dixie Hwy, Fort Mitchell, KY 41017, USA",39.0409963,-84.5545693
Fort Thomas Fire Department,"130 N Ft Thomas Ave, Fort Thomas, KY 41075, USA",39.0811649,-84.4489351
Fort Wright Fire Department,"409 Kyles Ln, Covington, KY 41011, USA",39.0519826,-84.5363557
Fountain Run Volunteer Fire Department,"196 Main St, Fountain Run, KY 42133, USA",36.7214184,-85.96692499999999
Fourth District Volunteer Fire Department,"6810 Caneyville Rd, Morgantown, KY 42261, USA",37.3187866,-86.606614
Frankfort Fire & EMS,"314 W 2nd St, Frankfort, KY 40601, USA",38.1949119,-84.8789682
Franklin County Fire Department,"106 Darby Shire Cir, Frankfort, KY 40601, USA",38.1955146,-84.8933429
Franklin Fire Department,"401 Macedonia Rd, Franklin, KY 42134, USA",36.7165869,-86.5650773
Franklin-Simpson Fire Rescue,"401 Macedonia Rd, Franklin, KY 42134, USA",36.7165869,-86.5650773
Fredonia Fire and Rescue,"312 Cassidy Ave, Fredonia, KY 42411, USA",37.2071346,-88.0585021
Fulton Fire Department,"340 Browder St, Fulton, KY 42041, USA",36.5110962,-88.8762503
"Gallatin County Volunteer Fire Department, Inc.","402 Main Cross St, Warsaw, KY 41095, USA",38.7826368,-84.901448
Gameliel Volunteer Fire Department,"122 Holland St, Gamaliel, KY 42140, USA",36.6382406,-85.7941674
Garrard County Fire District 1,"180 Industry Rd, Lancaster, KY 40444, USA",37.6073084,-84.58010890000001
Garrett Area Volunteer Fire Department,"638 Stone Coal Rd, Garrett, KY 41630, USA",37.4777059,-82.8227788
Garrison Volunteer Fire Department,"Garrison, KY, USA",38.6058757,-83.1741035
Georgetown Fire & Rescue,"101 Airport Rd, Georgetown, KY 40324, USA",38.1885273,-84.5642845
Gilbertsville Fire Department,"Kentucky Dam Village, 113 Administration Dr., Gilbertsville, KY 42044, United States",36.9968648,-88.28580219999999
Glasgow Fire Department,"203 S Broadway, Glasgow, KY 42141, USA",36.9942876,-85.9117263
"Glencoe Fire Protection District, Inc","112 Main St, Glencoe, KY 41046, USA",38.71412890000001,-84.8230129
Glendale Fire Department,"405 E Main St, Glendale, KY 42740, USA",37.6010912,-85.904181
Gordon Volunteer Fire & Rescue,"20 Cr-1639, Gordon, KY 41819, USA",36.9908004,-83.0237028
Gott Volunteer Fire Department,"5590 Porter Pike, Bowling Green, KY 42103, USA",36.9729159,-86.3138584
Gracey Fire Department,"7685 Caledonia Rd, Gracey, KY 42232, USA",36.8214076,-87.6904593
Graham Volunteer Fire Department,"120 Firehouse Ln, Graham, KY 42344, USA",37.236165,-87.2758097
